,precision,recall,f1
ISSUE10,0.8829787234042553,0.6747967479674797,0.7649769585253458
ISSUE11,0.6578947368421053,0.43103448275862066,0.5208333333333334
ISSUE12,1.0,0.07692307692307693,0.14285714285714288
ISSUE13,0.3333333333333333,0.022727272727272728,0.04255319148936171
ISSUE14,1.0,0.13636363636363635,0.24000000000000002
ISSUE15,0.8695652173913043,0.5,0.634920634920635
ISSUE16,0.7538461538461538,0.4651898734177215,0.5753424657534246
ISSUE17,1.0,0.2,0.33333333333333337
ISSUE18,0.8941798941798942,0.5652173913043478,0.6926229508196721
ISSUE19,0.0,0.0,0.0
ISSUE20,0.6666666666666666,0.26666666666666666,0.3809523809523809
ISSUE21,0.3333333333333333,0.045454545454545456,0.08
ISSUE22,0.8152173913043478,0.5514705882352942,0.6578947368421052
ISSUE23,0.0,0.0,0.0
ISSUE24,0.625,0.125,0.20833333333333334
ISSUE30,0.868421052631579,0.4714285714285714,0.6111111111111112
ISSUE31,1.0,0.2,0.33333333333333337
ISSUE32,0.6842105263157895,0.125,0.21138211382113822
ISSUE37,0.9444444444444444,0.5528455284552846,0.6974358974358974
ISSUE39,0.7857142857142857,0.2682926829268293,0.39999999999999997
ISSUE40,0.7894736842105263,0.32967032967032966,0.46511627906976744
ISSUE41,0.625,0.15151515151515152,0.24390243902439024
ISSUE43,0.7884615384615384,0.6507936507936508,0.7130434782608696
ISSUE45,0.5714285714285714,0.17391304347826086,0.26666666666666666
ISSUE50,0.8936170212765957,0.5971563981042654,0.7159090909090908
ISSUE52,0.3333333333333333,0.1,0.15384615384615383
ISSUE53,0.8590785907859079,0.698237885462555,0.7703523693803159
ISSUE54,0.8620689655172413,0.5,0.6329113924050632
ISSUE55,0.9625,0.6814159292035398,0.7979274611398963
ISSUE56,0.9565217391304348,0.7586206896551724,0.8461538461538461
ISSUE57,0.6,0.16666666666666666,0.2608695652173913
ISSUE58,0.5,0.05555555555555555,0.09999999999999999
ISSUE59,0.9090909090909091,0.5084745762711864,0.6521739130434782
ISSUE60,0.7058823529411765,0.36,0.4768211920529802
ISSUE61,0.0,0.0,0.0
ISSUE62,0.8095238095238095,0.49635036496350365,0.6153846153846154
ISSUE65,0.95,0.7169811320754716,0.8172043010752688
ISSUE67,0.8,0.25,0.38095238095238093
ISSUE68,0.25,0.1,0.14285714285714288
ISSUE69,0.75,0.3333333333333333,0.46153846153846156
ISSUE70,1.0,0.21052631578947367,0.34782608695652173
ISSUE80,0.7083333333333334,0.2786885245901639,0.39999999999999997
ISSUE82,0.8333333333333334,0.5555555555555556,0.6666666666666667
ISSUE83,0.6578947368421053,0.423728813559322,0.5154639175257731
ISSUE90,0.5806451612903226,0.24324324324324326,0.34285714285714286
ISSUE91,0.7586206896551724,0.20952380952380953,0.3283582089552239
ISSUE92,0.0,0.0,0.0
ISSUE93,0.6666666666666666,0.4444444444444444,0.5333333333333333
ISSUE95,0.8936170212765957,0.5874125874125874,0.708860759493671
ISSUE96,0.0,0.0,0.0
ISSUE98,0.42857142857142855,0.15,0.2222222222222222
ISSUE101,0.75,0.08823529411764706,0.15789473684210525
ISSUE102,0.7419354838709677,0.36507936507936506,0.48936170212765956
ISSUE103,0.6428571428571429,0.12162162162162163,0.20454545454545456
ISSUE104,0.7142857142857143,0.2631578947368421,0.3846153846153846
ISSUE105,0.6666666666666666,0.1111111111111111,0.1904761904761905
ISSUE106,0.8928571428571429,0.7142857142857143,0.7936507936507937
ISSUE111,1.0,0.5384615384615384,0.7000000000000001
ISSUE118,0.9473684210526315,0.72,0.8181818181818181
ISSUE200,0.88,0.4583333333333333,0.6027397260273972
ISSUE208,0.8854961832061069,0.6170212765957447,0.7272727272727273
ISSUE210,0.8,0.14285714285714285,0.24242424242424243
ISSUE212,0.8709677419354839,0.4090909090909091,0.5567010309278351
ISSUE218,0.7142857142857143,0.13157894736842105,0.2222222222222222
ISSUE221,0.75,0.34615384615384615,0.4736842105263157
