,issue,Recall,Precision,F1
0,ISSUE10,0.7245119305856833,0.8287841191066998,0.7731481481481483
1,ISSUE11,0.5,0.72,0.5901639344262295
2,ISSUE12,0.30303030303030304,0.5970149253731343,0.4020100502512563
3,ISSUE13,0.1891891891891892,0.2692307692307692,0.22222222222222224
4,ISSUE14,0.45098039215686275,0.6216216216216216,0.5227272727272727
5,ISSUE15,0.6883116883116883,0.803030303030303,0.7412587412587411
6,ISSUE16,0.6009070294784581,0.6794871794871795,0.637785800240674
7,ISSUE17,0.34146341463414637,0.8235294117647058,0.48275862068965514
8,ISSUE18,0.6278481012658228,0.7425149700598802,0.6803840877914953
9,ISSUE19,0.15,0.5,0.23076923076923075
10,ISSUE20,0.6176470588235294,0.6774193548387096,0.6461538461538462
11,ISSUE21,0.47619047619047616,0.7142857142857143,0.5714285714285714
12,ISSUE22,0.5628140703517588,0.7777777777777778,0.6530612244897959
13,ISSUE23,0.09375,0.2727272727272727,0.13953488372093023
14,ISSUE24,0.391304347826087,0.5294117647058824,0.45
15,ISSUE30,0.5757575757575758,0.76,0.6551724137931034
16,ISSUE31,0.42857142857142855,0.6923076923076923,0.5294117647058824
17,ISSUE32,0.302158273381295,0.4827586206896552,0.37168141592920356
18,ISSUE37,0.627906976744186,0.7641509433962265,0.6893617021276596
19,ISSUE39,0.475,0.5428571428571428,0.5066666666666667
20,ISSUE40,0.4434782608695652,0.6710526315789473,0.5340314136125653
21,ISSUE41,0.5588235294117647,0.5135135135135135,0.5352112676056339
22,ISSUE43,0.5660377358490566,0.7692307692307693,0.6521739130434783
23,ISSUE45,0.3125,0.3125,0.3125
24,ISSUE50,0.6785714285714286,0.8113879003558719,0.7390599675850892
25,ISSUE52,0.3684210526315789,0.5833333333333334,0.4516129032258065
26,ISSUE53,0.7464539007092199,0.7839851024208566,0.7647593097184379
27,ISSUE54,0.580952380952381,0.7261904761904762,0.6455026455026456
28,ISSUE55,0.7169811320754716,0.8444444444444444,0.7755102040816326
29,ISSUE56,0.6909090909090909,0.8636363636363636,0.7676767676767676
30,ISSUE57,0.2,0.42857142857142855,0.27272727272727276
31,ISSUE58,0.4074074074074074,0.5238095238095238,0.4583333333333333
32,ISSUE59,0.6075949367088608,0.7741935483870968,0.6808510638297873
33,ISSUE60,0.45,0.5934065934065934,0.5118483412322274
34,ISSUE61,0.0,0.0,0.0
35,ISSUE62,0.6410256410256411,0.7763975155279503,0.7022471910112361
36,ISSUE65,0.6808510638297872,0.7441860465116279,0.711111111111111
37,ISSUE67,0.3,0.8571428571428571,0.4444444444444444
38,ISSUE68,0.18181818181818182,0.4,0.25000000000000006
39,ISSUE69,0.5121951219512195,0.7,0.5915492957746479
40,ISSUE70,0.2962962962962963,0.6666666666666666,0.41025641025641024
41,ISSUE80,0.5368421052631579,0.6623376623376623,0.5930232558139535
42,ISSUE82,0.5357142857142857,0.75,0.6250000000000001
43,ISSUE83,0.5268817204301075,0.765625,0.6242038216560509
44,ISSUE90,0.4497354497354497,0.5629139072847682,0.5
45,ISSUE91,0.35555555555555557,0.4050632911392405,0.378698224852071
46,ISSUE92,0.05,0.125,0.07142857142857144
47,ISSUE93,0.3333333333333333,0.8,0.47058823529411764
48,ISSUE95,0.7238095238095238,0.8397790055248618,0.7774936061381075
49,ISSUE96,0.08823529411764706,0.21428571428571427,0.125
50,ISSUE98,0.3111111111111111,0.56,0.4
51,ISSUE101,0.4146341463414634,0.6071428571428571,0.49275362318840576
52,ISSUE102,0.6388888888888888,0.71875,0.676470588235294
53,ISSUE103,0.2988505747126437,0.3880597014925373,0.33766233766233766
54,ISSUE104,0.5,0.7674418604651163,0.6055045871559633
55,ISSUE105,0.2553191489361702,0.34285714285714286,0.2926829268292683
56,ISSUE106,0.6666666666666666,0.918918918918919,0.7727272727272727
57,ISSUE111,0.4090909090909091,0.9,0.5625000000000001
58,ISSUE118,0.7333333333333333,0.9166666666666666,0.8148148148148148
59,ISSUE200,0.7045454545454546,0.775,0.7380952380952381
60,ISSUE208,0.7163461538461539,0.7095238095238096,0.7129186602870814
61,ISSUE210,0.44,0.5,0.46808510638297873
62,ISSUE212,0.4583333333333333,0.7333333333333333,0.5641025641025641
63,ISSUE218,0.14814814814814814,0.23529411764705882,0.1818181818181818
64,ISSUE221,0.39622641509433965,0.65625,0.49411764705882355
